id_gta,dt_emissao_gta,id_produtor_origem,id_produtor_destino,id_tipo_finalidade_gta,municipio_origem,estado_origem,municipio_destino,estado_destino,qt_animais,data_seconds,repeticao_origem,flag_binaria,qt_animais_norm,data_seconds_norm,cluster
2785538,2014-12-18 15:18:45.968,443692.0,443692,2,3161106,MG,3161106,MG,5,1418915925,0,0,0.5,0.0,0
2785538,2014-12-18 15:18:45.968,443692.0,443692,2,3161106,MG,3161106,MG,4,1418915925,1,1,0.375,0.0,1
2785538,2014-12-18 15:18:45.968,443692.0,443692,2,3161106,MG,3161106,MG,1,1418915925,1,1,0.0,0.0,1
2785538,2014-12-18 15:18:45.968,443692.0,443692,2,3161106,MG,3161106,MG,2,1418915925,1,1,0.125,0.0,1
2785538,2014-12-18 15:18:45.968,443692.0,443692,2,3161106,MG,3161106,MG,7,1418915925,1,1,0.75,0.0,1
2785538,2014-12-18 15:18:45.968,443692.0,443692,2,3161106,MG,3161106,MG,6,1418915925,1,1,0.625,0.0,1
2785538,2014-12-18 15:18:45.968,443692.0,443692,2,3161106,MG,3161106,MG,9,1418915925,1,1,1.0,0.0,1
7214317,2018-06-18 15:28:02.695,215350.0,443692,18,3161106,MG,3161106,MG,6,1529335682,0,0,0.625,0.4541585772319765,0
10484783,2020-09-17 14:58:14.194,341675.0,443692,30,3161106,MG,3161106,MG,1,1600354694,0,0,0.0,0.74626113498657,-1
13471676,2022-09-01 15:32:06.483,792108.0,443692,3,3161106,MG,3161106,MG,5,1662046326,0,0,0.5,1.0,-1
